tweet,sentiment_label
b'Wow, @ProSieben bringt \xe2\x80\x9eThe Big Bang Theory\xe2\x80\x9c ab der ersten Folge \xf0\x9f\x98\xb3',Positive
b'"I bet you watch that Big Bang Theory program, that Sheldon is something else" someone please help me',Negative
b'Retail therapy when you\xe2\x80\x99re living with a #chronicillness is going out and getting steroids and new jammies (but the\xe2\x80\xa6 https://t.co/7i4D3CQo2q',Positive
b'After 14 hours of The Big Bang Theory, McFuckface appears to be fine. Perhaps he just has exceptionally poor taste\xe2\x80\xa6 https://t.co/EBfZh7v89t',Positive
b'I would like to call this outfit : The Big Bang Theory. The solar system and dinosaurs totally go together this is\xe2\x80\xa6 https://t.co/W1utJfsNOR',Negative
b'@innuovo @albertoplaza Ese si es un buen chiste, tipo The Big Bang Theory',Negative
b'RT @SaraJChipps: Big Bang Theory is over? THANK GOD. What a flaming pile of garbage. Science isn\xe2\x80\x99t for \xe2\x80\x9cnerds\xe2\x80\x9d. Taking care of yourself, yo\xe2\x80\xa6',Negative
b'Big Bang Theory \xe6\x9c\x80\xe7\xb5\x82\xe3\x82\xb7\xe3\x83\xbc\xe3\x82\xba\xe3\x83\xb3\xe3\x82\x92\xe6\xaf\x8e\xe6\x97\xa5\xe9\x91\x91\xe8\xb3\x9e\xe4\xb8\xad\xe3\x80\x82\xe3\x82\xa8\xe3\x83\x94\xe3\x82\xbd\xe3\x83\xbc\xe3\x83\x8910\xe3\x81\xa7\xe3\x83\x8f\xe3\x83\xaf\xe3\x83\xbc\xe3\x83\x89\xe3\x81\x8c\xe8\x87\xaa\xe5\xae\x85\xe3\x83\xaa\xe3\x83\x93\xe3\x83\xb3\xe3\x82\xb0\xe3\x81\xa7\xe6\x89\x8b\xe5\x93\x81\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xbc\xe3\x82\x92\xe6\x8a\xab\xe9\x9c\xb2\xe3\x81\x99\xe3\x82\x8b\xe6\x99\x82\xe3\x81\xae\xe7\x99\xbb\xe5\xa0\xb4\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\xb3\xe3\x81\x8cPippin\xe3\x81\xaeMagic to do \xe3\x81\xa7\xe6\x9c\x80\xe9\xab\x98\xe9\x81\x8e\xe3\x81\x8e\xe3\x82\x8bw',Negative
b"#TheBIgBangTheory: il nostro specialeper l'ultima stagione! #TBBT https://t.co/MDQ7l3c5q3",Negative
b'RT @T33J4Y: no i dont watch big bang theory https://t.co/IEVeXUGJGV',Negative
b'@All_Screens El de Gotham parece m\xc3\xa1s un fan made qu\xc3\xa9 otra cosa con un gui\xc3\xb3n bastante rid\xc3\xadculo y los trajes e visto\xe2\x80\xa6 https://t.co/UF0ruPKq1e',Negative
b'The Big Bang Theory #BBT: When you look at the massive #Galaxies and all the #Stars, then you realize that God crea\xe2\x80\xa6 https://t.co/kJUsbPb7mZ',Negative
b'RT @tbbtsite: "The Stockholm Syndrome" vs. "The Change Constant" in the final round of our #BigBangTheory Season 12 episode tournament: htt\xe2\x80\xa6',Negative
